consecutivo,idindicador,nomindicador,idunidad,nomunidad,iddepto,nomdepto,idmpio,nommpio,idregion,nomregion,idsubregion,nomsubregion,idregimen,nomregimen,ideps,nomeps,idips,nomips,idzona,nomzona,ideducacion,nomeducacion,idocupacion,nomocupacion,idedad,nomedad,idestadocivil,nomestadocivil,idsexo,nomsexo,idetnia,nometnia,yea1990,yea1991,yea1992,yea1993,yea1994,yea1995,yea1996,yea1997,yea1998,yea1999,yea2000,yea2001,yea2002,yea2003,yea2004,yea2005,yea2006,yea2007,yea2008,yea2009,yea2010,yea2011,yea2012,fue1990,fue1991,fue1992,fue1993,fue1994,fue1995,fue1996,fue1997,fue1998,fue1999,fue2000,fue2001,fue2002,fue2003,fue2004,fue2005,fue2006,fue2007,fue2008,fue2009,fue2010,fue2011,fue2012,obs1990,obs1991,obs1992,obs1993,obs1994,obs1995,obs1996,obs1997,obs1998,obs1999,obs2000,obs2001,obs2002,obs2003,obs2004,obs2005,obs2006,obs2007,obs2008,obs2009,obs2010,obs2011,obs2012
2745,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,73,Tolima,73678,San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.15,28.15,28.15,28.15,28.15,28.15,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
117,pcrparin,Porcentaje partos institucionales,1,por 100 (%),5,Antioquia,05480,mutatá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.57,96.97,95.73,97.34,96.91,94.32,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2265,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,25,Cundinamarca,25488,Nilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.66,22.1,21.54,20.99,20.43,19.87,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
266,pcrparin,Porcentaje partos institucionales,1,por 100 (%),15,Boyacá,15185,chitaraque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.07,94.38,95.79,90.91,96.33,95.65,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1725,ctrmormt,Mortalidad materna a 42 días,17,Personas,44,La Guajira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19,20,13,27,19,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
831,pcrparin,Porcentaje partos institucionales,1,por 100 (%),52,Nariño,52427,magüi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.57,95.65,100,89.16,91.23,96.12,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
414,pcrparin,Porcentaje partos institucionales,1,por 100 (%),85,Casanare,85015,chameza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,95.24,100,100,100,95.45,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1666,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,68,SANTANDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08652819,16.59394603,16.10021327,15.60535286,15.1094053,14.61237122,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2250,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,25,Cundinamarca,25368,Jerusalén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.54,24,23.45,22.91,22.36,21.82,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
937,pcrparin,Porcentaje partos institucionales,1,por 100 (%),68,Santander,68013,aguadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.95,91.67,88.89,100,100,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1358,pcrparin,Porcentaje partos institucionales,1,por 100 (%),25,CUNDINAMARCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.94988998,99.12161976,99.16858875,99.17866124,99.26570423,99.27940964,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
91,pcrparin,Porcentaje partos institucionales,1,por 100 (%),5,Antioquia,05266,envigado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.94,100,99.88,99.87,99.87,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2098,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,18,Caquetá,18256,El Paujil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.55,27.92,27.29,26.65,26.02,25.38,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2648,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,68,Santander,68502,Onzaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,23.5,23.5,23.5,23.5,23.5,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1178,rtrmorpu,Razón de mortalidad materna a 42 días,4,por 100.000 nacidos vivos,94,Guainía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.1,558.66,0,351.49,162.87,0,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1956,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,15,Boyacá,15162,Cerinza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37,18.59,17.82,17.04,16.27,15.49,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2478,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,52,Nariño,52250,El Charco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.47,36.47,36.47,36.47,36.47,36.47,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1978,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,15,Boyacá,15293,Gachantivá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53,25.47,24.4,23.34,22.28,21.22,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2416,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,47,Magdalena,47460,Nueva Granada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91,37.43,35.95,34.47,32.98,31.5,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1179,rtrmorpu,Razón de mortalidad materna a 42 días,4,por 100.000 nacidos vivos,95,Guaviare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.23,240,64.02,125.63,69.44,74.07,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
122,pcrparin,Porcentaje partos institucionales,1,por 100 (%),5,Antioquia,52254,el peñol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.76,99.61,100,99.19,100,98.01,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
556,pcrparin,Porcentaje partos institucionales,1,por 100 (%),23,Córdoba,23807,tierralta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9,87.38,98.22,91.96,96.9,99.01,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2179,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,23,Córdoba,23162,Cereté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.17,27.54,26.91,26.29,25.66,25.04,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2164,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,20,Cesar,20400,La Jagua de Ibirico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78,24.5,24.23,23.95,23.68,23.4,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
618,pcrparin,Porcentaje partos institucionales,1,por 100 (%),25,Cundinamarca,25483,nariño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,97.44,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1024,pcrparin,Porcentaje partos institucionales,1,por 100 (%),70,Sucre,70110,buenavista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43,97.69,98.78,99.4,98.7,96.88,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1551,pbepredc,Prevalencia de desnutrición crónica,1,por 100 (%),23,CÓRDOBA,,,,,,,,,,,,,,,,,,,211,Menor de 5 años,,,,,,,,,,,,,,,,,,,,,,15,,,,,16.4,,,,,,,,,,,,,,,,,,ENSIN,,,,,ENSIN,,,,,,,,,,,,,,,,,,,,,,,,,
2754,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,76,Valle del Cauca,76036,Andalucía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.18,15.7,15.21,14.73,14.24,13.76,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1362,pcrparin,Porcentaje partos institucionales,1,por 100 (%),47,MAGDALENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2275586,98.56204346,98.44291436,98.68403384,98.99118382,99.34396828,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1559,pbepredc,Prevalencia de desnutrición crónica,1,por 100 (%),52,NARIÑO,,,,,,,,,,,,,,,,,,,211,Menor de 5 años,,,,,,,,,,,,,,,,,,,,,,20,,,,,16.9,,,,,,,,,,,,,,,,,,ENSIN,,,,,ENSIN,,,,,,,,,,,,,,,,,,,,,,,,,
711,pcrparin,Porcentaje partos institucionales,1,por 100 (%),41,Huila,41660,saladoblanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.67,69.07,76.12,85.28,83.67,88.42,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
179,pcrparin,Porcentaje partos institucionales,1,por 100 (%),8,Atlántico,08078,baranoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.15,99.76,99.89,99.79,99.68,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1421,ptrldeng,Letalidad de Dengue grave,1,Por 100 (%),18,CAQUETÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,0,0,9,0,,,,,,,,,,,,,,,,,,,SIVIGILA,SIVIGILA,SIVIGILA,SIVIGILA,SIVIGILA,,,,,,,,,,,,,,,,,,,,,,,,
745,pcrparin,Porcentaje partos institucionales,1,por 100 (%),47,Magdalena,47258,el piñon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.11,99.19,97.21,97.55,98.54,98.77,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1802,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,5,Antioquia,05321,Guatapé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16,16.8,16.44,16.08,15.72,15.36,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1703,pbretaia,Porcentaje de brotes de ETA con identificación de agentes patógenos en muestras biológicas  alimentos y superficies /ambientales,1,por 100 (%),63,QUINDÍO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66.66666667,,,,,,,,,,,,,,,,,,,,,,SIVIGILA,SIVIGILA,,,,,,,,,,,,,,,,,,,,,,,,
1801,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,5,Antioquia,05318,Guarne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82,12.68,12.54,12.39,12.25,12.11,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
155,pcrparin,Porcentaje partos institucionales,1,por 100 (%),5,Antioquia,05792,tarso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.22,96.74,98.9,93.44,98.53,98.44,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2598,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,68,Santander,68081,Barrancabermeja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.69,16.19,15.69,15.19,14.69,14.19,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1681,pbretaia,Porcentaje de brotes de ETA con identificación de agentes patógenos en muestras biológicas  alimentos y superficies /ambientales,1,por 100 (%),8,ATLÁNTICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,27.27272727,,,,,,,,,,,,,,,,,,,,,,SIVIGILA,SIVIGILA,,,,,,,,,,,,,,,,,,,,,,,,
2588,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,66,Risaralda,66572,Pueblo Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.64,29.64,29.64,29.64,29.64,29.64,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
920,pcrparin,Porcentaje partos institucionales,1,por 100 (%),63,Quindio,63548,pijao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,98.91,97.14,98.59,97.5,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1743,ctrmormt,Mortalidad materna a 42 días,17,Personas,97,Vaupés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,0,1,0,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
304,pcrparin,Porcentaje partos institucionales,1,por 100 (%),15,Boyacá,15491,nobsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.57,100,99.57,100,100,99.47,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
298,pcrparin,Porcentaje partos institucionales,1,por 100 (%),15,Boyacá,15455,miraflores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.89,99.37,99.4,99.3,100,100,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1339,pcrperca,Porcentaje de partos atendidos por personal calificado,1,por 100 (%),81,ARAUCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.38225457,81.59851301,89.88326848,89.19925512,88.60544218,90.18036072,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2564,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,54,N. Santander,54871,Villa Caro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.44,29.44,29.44,29.44,29.44,29.44,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1480,pbehtaco,Porcentaje de población con hipertension arterial diagnosticada en 2 o más consultas,1,por 100 (%),27,CHOCÓ,,,,,,,,,,,,,,,,,,,140,18 a 69 años,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,ENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,76,Valle del Cauca,76126,Calima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,15.42,14.94,14.47,13.99,13.51,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
251,pcrparin,Porcentaje partos institucionales,1,por 100 (%),15,Boyacá,15087,belén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.53,98.1,100,98.66,100,96.26,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1009,pcrparin,Porcentaje partos institucionales,1,por 100 (%),68,Santander,68686,san miguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.92,96.55,92.31,95.24,100,92.31,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
2106,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,18,Caquetá,18785,Solita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,27.7,27.07,26.44,25.81,25.18,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
1409,igrtgfec,Tasa Global de Fecundidad,2,Nacidos vivos,76,Valle del Cauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.038,,,,,,,,,,,,,,,,,,,,,,,DANE,,,,,,,,,,,,,,,,,,,,,,,
1507,pbrmivih,Porcentaje de transmisión materno infantil de VIH,1,por 100 (%),17,CALDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,6.3,,,,,,,,,,,,,,,,,,,,,,Informe transmisión Materno Infantil del VIH Ministerio de Salud y Protección Social,,Informe transmisión Materno Infantil del VIH Ministerio de Salud y Protección Social,,,,,,,,,,,,,,,,,,,,,,,Información deficiente/niños sin clasificación,,
2435,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,50,Meta,50110,Barranca de Upía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.88,28.43,27.98,27.53,27.09,26.64,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2326,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,27,Chocó,27075,Bahía Solano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.61,38.61,38.61,38.61,38.61,38.61,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
2320,ttdiesti,Tasa de mortalidad infantil estimada,20,Por 1.000 nacidos vivos,25,Cundinamarca,25899,Zipaquirá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65,13.34,13.04,12.74,12.43,12.13,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
778,pcrparin,Porcentaje partos institucionales,1,por 100 (%),50,Meta,50350,la macarena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,99.3,96.8,97.76,97.79,96.03,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
547,pcrparin,Porcentaje partos institucionales,1,por 100 (%),23,Córdoba,23580,puerto libertador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.77,99.42,99.22,99.81,99.61,98.33,,,,,,,,,,,,,,,,,,EEVV,EEVV,EEVV,EEVV,EEVV,EEVV,,,,,,,,,,,,,,,,,,,,,,,,,
1620,ttdnesti,Tasa de mortalidad estimada en menores de 5 años,20,Por 1.000 nacidos vivos,47,MAGDALENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.59079022,37.08742145,33.58405269,30.08068392,26.57731515,23.07394638,,,,,,,,,,,,,,,,,,DANE,DANE,DANE,DANE,DANE,DANE,,,,,,,,,,,,,,,,,,,,,,,,,
